environment_score_end,social_score_end,governance_score_end,total_score_end,Annual_Return,Cluster_environment_score_end,Cluster_social_score_end,Cluster_governance_score_end,Cluster_total_score_end,Cluster_Annual_Return
1.52,14.37,9.69,26.01,-0.133580411107313,1,1,1,1,2
1.53,17.05,10.24,28.38,-0.153420223933907,1,1,1,1,2
1.37,15.77,10.98,28.1,-0.0285043028710778,1,1,1,1,2
0.03,15.2,7.5,22.73,0.0098800903639585,1,1,1,1,2
500.0,321.0,310.0,1131.0,0.2487514502548594,0,0,0,0,0
550.0,313.0,325.0,1188.0,-0.161230370451021,0,0,0,0,2
405.0,320.0,300.0,1025.0,0.0122159174959017,0,0,0,0,2
3.16,18.0,11.83,32.98,-0.20989009312221,1,1,1,1,2
2.83,12.86,10.32,26.02,0.0389762817906761,1,1,1,1,2
5.57,10.83,7.98,24.62,0.2740088704877208,1,1,1,1,0
5.4,10.84,7.54,23.78,-0.121818195689809,1,1,1,1,2
4.94,9.54,7.21,21.69,0.1559373622626754,1,1,1,1,2
260.0,206.0,230.0,696.0,-0.186056799473274,2,2,2,2,2
3.87,5.15,5.62,14.63,0.2341987858265623,1,1,1,1,0
3.82,5.09,5.37,14.28,-0.316485924125972,1,1,1,1,2
3.7,5.03,5.08,13.81,0.2086043716349127,1,1,1,1,0
532.0,339.0,305.0,1176.0,0.0685248539307859,0,0,0,0,2
515.0,300.0,303.0,1118.0,-0.167538410409796,0,0,0,0,2
9.76,14.03,5.85,29.63,0.6196784610709621,1,1,1,1,0
9.87,15.3,5.66,30.83,0.0586860823805314,1,1,1,1,2
10.97,16.37,4.95,32.29,-0.0618131842219935,1,1,1,1,2
11.7,16.4,4.77,32.87,0.0476470274083735,1,1,1,1,2
1.91,8.93,5.53,16.37,0.1464189269166409,1,1,1,1,2
2.29,8.2,5.13,15.62,0.0518460977863068,1,1,1,1,2
2.45,5.37,4.51,12.33,-0.044357820012419,1,1,1,1,2
505.0,300.0,315.0,1120.0,0.2220496608125533,0,0,0,0,0
210.0,258.0,226.0,694.0,-0.223330242818573,2,2,2,2,2
235.0,239.0,235.0,709.0,0.0987797016672359,2,2,2,2,2
1.53,10.32,11.48,23.37,0.2194281378880567,1,1,1,1,0
1.57,10.72,11.43,23.73,-0.012383752704431,1,1,1,1,2
1.62,11.28,10.88,23.78,0.268105447800005,1,1,1,1,0
1.65,11.68,10.67,24.01,0.0880148756825461,1,1,1,1,2
2.97,9.24,9.43,21.64,-0.222055095065316,1,1,1,1,2
2.57,7.19,8.98,18.69,0.40381090271614,1,1,1,1,0
2.85,7.43,9.19,19.47,-0.0966971869860137,1,1,1,1,2
0.98,2.77,3.62,7.39,0.553612160461733,1,1,1,1,0
1.66,2.74,3.58,7.98,0.0132471676027564,1,1,1,1,2
2.13,2.7,3.51,8.33,0.7295186361697544,1,1,1,1,0
