environment_score_start,social_score_start,governance_score_start,total_score_start,Annual_Return,environment_cluster,governance_cluster,social_cluster,total_cluster,Annual_Return_Cluster
321,349,310,980,-0.241471362,1,2,2,2,0
0.04,14.99,8.49,23.52,-0.000370521,0,0,0,0,0
0.03,15.3,8.03,23.36,-0.181234526,0,0,0,0,0
0.02,14.65,7.54,22.2,-0.023683597,0,0,0,0,0
0.02,13.07,7.82,20.91,-0.114928135,0,0,0,0,0
275,227,300,802,-0.271188674,1,2,1,1,0
2.38,12.18,10.22,24.81,0.081203065,0,0,0,0,1
2.21,10.69,10.32,23.22,-0.158937784,0,0,0,0,0
1.99,9.46,10.7,22.15,0.3665882783777553,0,0,0,0,2
500,300,300,1100,-0.193003376,2,2,2,2,0
4.37,9.5,6.23,20.31,0.2143266699002217,0,0,0,0,1
3.88,9.4,6.15,19.43,0.076808221,0,0,0,0,1
3.88,9.68,6.31,19.87,0.066324436,0,0,0,0,1
558,306,310,1174,-0.080771754,2,2,2,2,0
1.52,14.37,9.69,26.01,-0.133580411,0,0,0,0,0
1.53,17.05,10.24,28.38,-0.153420224,0,0,0,0,0
1.37,15.77,10.98,28.1,-0.028504303,0,0,0,0,0
0.03,15.2,7.5,22.73,0.00988009,0,0,0,0,1
500,321,310,1131,0.2487514502548594,2,2,2,2,1
550,313,325,1188,-0.16123037,2,2,2,2,0
405,320,300,1025,0.012215917,2,2,2,2,1
3.16,18,11.83,32.98,-0.209890093,0,0,0,0,0
2.83,12.86,10.32,26.02,0.038976282,0,0,0,0,1
5.57,10.83,7.98,24.62,0.2740088704877208,0,0,0,0,1
5.4,10.84,7.54,23.78,-0.121818196,0,0,0,0,0
4.94,9.54,7.21,21.69,0.1559373622626754,0,0,0,0,1
260,206,230,696,-0.186056799,1,1,1,1,0
3.87,5.15,5.62,14.63,0.2341987858265623,0,0,0,0,1
3.82,5.09,5.37,14.28,-0.316485924,0,0,0,0,0
3.7,5.03,5.08,13.81,0.2086043716349127,0,0,0,0,1
532,339,305,1176,0.068524854,2,2,2,2,1
515,300,303,1118,-0.16753841,2,2,2,2,0
9.76,14.03,5.85,29.63,0.6196784610709621,0,0,0,0,2
9.87,15.3,5.66,30.83,0.058686082,0,0,0,0,1
10.97,16.37,4.95,32.29,-0.061813184,0,0,0,0,0
11.7,16.4,4.77,32.87,0.047647027,0,0,0,0,1
1.91,8.93,5.53,16.37,0.1464189269166409,0,0,0,0,1
2.29,8.2,5.13,15.62,0.051846098,0,0,0,0,1
2.45,5.37,4.51,12.33,-0.04435782,0,0,0,0,0
505,300,315,1120,0.2220496608125533,2,2,2,2,1
210,258,226,694,-0.223330243,1,1,1,1,0
235,239,235,709,0.098779702,1,1,1,1,1
1.53,10.32,11.48,23.37,0.2194281378880567,0,0,0,0,1
1.57,10.72,11.43,23.73,-0.012383753,0,0,0,0,0
1.62,11.28,10.88,23.78,0.268105448,0,0,0,0,1
1.65,11.68,10.67,24.01,0.088014876,0,0,0,0,1
