environment_score_start,social_score_start,governance_score_start,total_score_start,Annual_Return,environment_cluster,governance_cluster,social_cluster,total_cluster,Annual_Return_Cluster
1.81,12.49,13.18,27.47,0.5749843544350751,0,0,0,0,2
1.43,11.23,12.39,25.05,0.1087969951551108,0,0,0,0,1
420,352,303,1075,-0.094912467,2,2,2,2,0
4.28,12.16,10.98,27.29,0.3837843037484233,0,0,0,0,2
4.42,12.4,10.81,27.62,0.3678250058374183,0,0,0,0,2
4.1,12.5,10.57,27.17,0.2215344413629665,0,0,0,0,1
3.36,12.39,10.68,26.44,-0.094035213,0,0,0,0,0
6.49,9.06,6.73,22.29,0.3645973090409209,0,0,0,0,2
6.06,9.42,6.82,22.3,0.2305465044931907,0,0,0,0,1
5.51,9.52,6.53,21.56,0.3849299573179155,0,0,0,0,2
308,243,210,761,-0.249935505,1,1,1,1,0
500,300,305,1105,0.019871428,2,2,2,2,1
570,350,340,1260,-0.060812158,2,2,2,2,0
375,325,300,1000,-0.089801308,1,2,2,2,0
12.83,7.81,3.81,24.53,0.2558497100199479,0,0,0,0,1
13.04,6.95,3.79,23.78,0.073339297,0,0,0,0,1
12.11,6.4,3.72,22.22,0.4498855947782506,0,0,0,0,2
293,235,216,744,-0.046555037,1,1,1,1,0
520,330,400,1250,0.211314991,2,2,2,2,1
2.46,8.39,7.36,18.11,0.5052466977255978,0,0,0,0,2
2.36,7.76,7.2,17.32,0.1699357745118544,0,0,0,0,1
2.78,7.05,6.44,16.27,0.3741433437886489,0,0,0,0,2
250,251,215,716,-0.084260933,1,1,1,1,0
3.15,12.99,5.11,21.23,0.3806532309611098,0,0,0,0,2
3.18,13.03,4.95,21.15,0.2140263279903555,0,0,0,0,1
2.87,13.53,4.57,20.98,0.086475917,0,0,0,0,1
6.11,14.41,4.24,24.78,-0.317420802,0,0,0,0,0
2.15,10.52,12.43,25.1,0.5802329301977802,0,0,0,0,2
2.25,10.15,11.59,23.99,-0.02152063,0,0,0,0,0
555,318,257,1130,-0.000444756,2,1,2,2,0
13.54,11.13,6.38,31.05,0.4986388649323275,0,0,0,0,2
13.12,11.2,6.1,30.42,0.2561490795589455,0,0,0,0,1
12.62,11.06,5.79,29.46,0.437407286,0,0,0,0,2
295,259,220,774,-0.2742769,1,1,1,1,0
510,340,300,1150,-0.258358946,2,2,2,2,0
10.81,16.35,6.39,33.62,0.1187150322839352,0,0,0,0,1
11.03,11.97,6.13,29.13,0.1101507877003963,0,0,0,0,1
11.07,9.85,6.2,27.12,0.1742025544587833,0,0,0,0,1
12.36,12.42,6.17,30.95,0.031912591,0,0,0,0,1
9.92,6.51,7.37,23.78,0.1327134083324191,0,0,0,0,1
9.97,7,7.31,24.28,-0.46125371,0,0,0,0,0
9.07,9.18,7.08,25.33,0.3564311986606412,0,0,0,0,2
8.1,9.16,6.27,23.53,0.438310623,0,0,0,0,2
500,300,261,1061,-0.026598392,2,1,2,2,0
1.18,13.05,5.81,19.85,0.6899355627861525,0,0,0,0,2
1.18,12.11,5.45,18.74,0.8476230827822315,0,0,0,0,2
1.1,9.07,4.3,14.46,0.4173076923076923,0,0,0,0,2
2.49,7.16,4.12,13.76,-0.197096437,0,0,0,0,0
515,307,330,1152,0.1093430345075839,2,2,2,2,1
4.26,4.8,6.71,15.73,-0.104538616,0,0,0,0,0
4.47,4.77,5.87,15.12,-0.429221627,0,0,0,0,0
5.12,4.58,5.16,14.87,0.8651645743873857,0,0,0,0,2
4.28,4.22,6.05,14.55,-0.203140574,0,0,0,0,0
1.41,5.86,6.11,13.39,0.6131032132158626,0,0,0,0,2
1.41,6.07,5.87,13.35,0.1972538959732653,0,0,0,0,1
1.57,5.77,5.37,12.71,0.4227186543450633,0,0,0,0,2
435,341,310,1086,-0.180276194,2,2,2,2,0
13.21,10.28,5.93,29.4,0.4028522968907005,0,0,0,0,2
13.62,10.28,5.82,29.72,-0.158065142,0,0,0,0,0
14.42,10.08,5.6,30.1,0.039610193,0,0,0,0,1
700,386,310,1396,0.2924528301886792,2,2,2,2,1
510,301,305,1116,0.005553067,2,2,2,2,1
1.89,11.33,8.22,21.44,0.2760122008771896,0,0,0,0,1
1.72,11.85,8.32,21.89,-0.082913329,0,0,0,0,0
1.56,12.43,8.52,22.5,0.2680666027242791,0,0,0,0,1
1.64,11.67,8.34,21.65,-0.192651796,0,0,0,0,0
1.61,8.11,5.84,15.55,0.5690929027714909,0,0,0,0,2
1.59,7.88,5.81,15.27,0.039291062,0,0,0,0,1
1.59,3.8,5.21,10.6,0.8137743088196034,0,0,0,0,2
540,355,300,1195,-0.279748699,2,2,2,2,0
8.14,9.33,5.94,23.4,0.1530768102552648,0,0,0,0,1
9.02,9.34,4.97,23.33,0.1407727328213773,0,0,0,0,1
9.95,9.76,5.4,25.11,0.00067661,0,0,0,0,1
7.25,18.26,9.03,34.1,-0.29779501,0,0,0,0,0
6.78,17.29,8.88,32.4,0.4093538064937703,0,0,0,0,2
7.14,16.54,8.56,32.22,0.068198096,0,0,0,0,1
5.72,12.55,8.47,26.74,0.1105746536989727,0,0,0,0,1
555,315,300,1170,-0.258977572,2,2,2,2,0
15.39,8.99,8.81,33.01,0.8354083834371808,0,0,0,0,2
14.59,9.09,8.46,32.14,0.2530120662739941,0,0,0,0,1
15.26,9.51,8.36,33.12,0.011804588,0,0,0,0,1
13.82,9.32,8.2,31.34,-0.243623463,0,0,0,0,0
0.17,12.83,8.7,21.7,0.5555075125232114,0,0,0,0,2
0.15,12.61,8.16,20.92,-0.039568354,0,0,0,0,0
0.13,12.09,7.1,19.33,0.3254285539899543,0,0,0,0,2
325,312,310,947,-0.188898427,1,2,2,2,0
4,20.79,12.28,37.07,0.3468916983256964,0,0,0,0,2
4.46,19.57,12.05,36.08,0.1616572980470982,0,0,0,0,1
4.89,17.11,11.72,33.72,0.089997625,0,0,0,0,1
4.05,14.52,11.57,30.15,-0.021352946,0,0,0,0,0
2.51,5.92,4.56,13.04,0.3761261442327461,0,0,0,0,2
2.56,5.58,4.65,12.8,-0.126969148,0,0,0,0,0
2.36,5.03,4.48,11.87,0.059482111,0,0,0,0,1
2.66,4.81,4.66,12.13,0.1020694684257298,0,0,0,0,1
210,200,305,715,0.044025934,1,2,1,1,1
12.84,17.85,8.29,38.98,-0.000688666,0,0,0,0,0
500,300,300,1100,0.097691406,2,2,2,2,1
510,268,300,1078,-0.190755507,2,2,1,2,0
200,200,200,600,-0.253735026,1,1,1,1,0
507,328,315,1150,-0.356908915,2,2,2,2,0
2.01,13.02,10.39,25.42,-0.150327948,0,0,0,0,0
480,308,300,1088,-0.121186621,2,2,2,2,0
5.39,17.81,8.15,31.47,0.4629824181459777,0,0,0,0,2
4.64,16.47,7.88,28.98,0.092364093,0,0,0,0,1
4.7,16.42,7.89,29.01,-0.200972984,0,0,0,0,0
4.81,16.39,8.05,29.26,0.024780759,0,0,0,0,1
2.06,9.33,5.14,16.72,0.9706426610053244,0,0,0,0,2
1.95,8.3,5.16,15.41,0.37121323,0,0,0,0,2
1.99,7.63,5.34,14.95,0.3112005531927198,0,0,0,0,2
2.13,7.58,5.06,14.77,0.026528712,0,0,0,0,1
2.14,7.6,5.63,15.35,0.3805110107447169,0,0,0,0,2
2.08,7.36,5.49,14.92,0.1134844101854972,0,0,0,0,1
2.03,7.19,5.39,14.61,0.1115665413867267,0,0,0,0,1
1.94,7.35,5.33,14.61,-0.173018626,0,0,0,0,0
527,332,280,1139,-0.141917627,2,2,2,2,0
4.8,13.6,7.59,25.99,0.7095589604330508,0,0,0,0,2
4.27,14.36,7.72,26.35,-0.136411015,0,0,0,0,0
3.49,13.38,7.47,24.33,0.1485833125451698,0,0,0,0,1
1.66,6.82,5.74,14.19,-0.188139725,0,0,0,0,0
1.68,6.9,5.86,14.46,0.1443299005271318,0,0,0,0,1
1.16,7.46,5.05,13.66,0.2671659586141064,0,0,0,0,1
483,310,300,1093,-0.177273761,2,2,2,2,0
2.34,5.42,4.65,12.91,0.3381626034447696,0,0,0,0,2
1.99,4.68,5.27,11.93,0.2943185287703501,0,0,0,0,1
2.79,4.25,5.26,12.3,0.5985155832253808,0,0,0,0,2
550,415,315,1280,-0.228473372,2,2,2,2,0
2.84,12.56,9.01,24.03,-0.116047515,0,0,0,0,0
2.85,12.34,8.84,23.72,0.350476554,0,0,0,0,2
2.96,11.72,8.64,23.32,0.2373518698626665,0,0,0,0,1
2.14,11.76,6.36,20.25,0.2914751509518856,0,0,0,0,1
510,325,310,1145,-0.295477576,2,2,2,2,0
1.55,9.07,12.95,23.58,0.165631113,0,0,0,0,1
1.55,9.16,12.09,22.8,0.020724191,0,0,0,0,1
1.44,8.7,11.02,21.16,0.1123514701299715,0,0,0,0,1
1.08,8.2,10.53,19.79,0.1741015016760669,0,0,0,0,1
500,300,200,1000,-0.042458612,2,1,2,2,0
2.8,17.62,10.38,31.03,0.3666448660232485,0,0,0,0,2
2.77,17.34,11.12,31.22,7.311778212336737,0,0,0,0,2
2.87,17.31,10.86,31.04,0.4688516345902458,0,0,0,0,2
555,160,278,993,-0.141799172,2,2,1,2,0
14.94,13.61,14.67,42.77,-0.34171598,0,0,0,0,0
14.28,14.25,13.28,41.72,0.7164404099562451,0,0,0,0,2
15.3,15.55,12.96,43.81,-0.292490106,0,0,0,0,0
12.66,13.47,10.03,36.16,0.3502711005640425,0,0,0,0,2
530,374,340,1244,0.098641804,2,2,2,2,1
700,389,320,1409,-0.261153811,2,2,2,2,0
225,307,310,842,-0.219859706,1,2,2,1,0
6.77,5,7.25,18.97,0.3830313748561699,0,0,0,0,2
6.59,5.22,6.33,18.14,0.2710446734030807,0,0,0,0,1
6.97,5.38,5.8,18.14,0.1450181909603117,0,0,0,0,1
8.81,5.03,6.32,20.16,-0.080288121,0,0,0,0,0
10.29,19.16,7.44,37.36,-0.191739887,0,0,0,0,0
10.6,19.61,7.36,37.85,-0.014800132,0,0,0,0,0
10.99,19.99,7.19,38.18,0.07280805,0,0,0,0,1
9.8,18.25,7.34,35.39,0.602989975,0,0,0,0,2
500,300,200,1000,-0.114422027,2,1,2,2,0
400,306,305,1011,-0.245297428,1,2,2,2,0
205,203,221,629,0.010297804,1,1,1,1,1
5.74,6.91,6.06,18.73,0.1901120990156921,0,0,0,0,1
4.76,5.57,5.84,16.17,-0.177440083,0,0,0,0,0
3.77,4.23,5.17,13.17,0.5610200677096383,0,0,0,0,2
3.2,3.83,5.28,12.31,-0.040972669,0,0,0,0,0
3.33,21.49,9.65,34.48,-0.059071112,0,0,0,0,0
3.45,19.39,8.72,31.57,0.1612755011718141,0,0,0,0,1
205,242,200,647,0.004713516,1,1,1,1,1
0.03,15.1,6.01,20.94,0.1999184121890939,0,0,0,0,1
0.03,14.9,5.95,20.88,0.1928701937904544,0,0,0,0,1
0.03,15.16,5.79,20.99,0.428766531,0,0,0,0,2
0.03,11.59,5.89,17.51,0.069640015,0,0,0,0,1
290,257,245,792,-0.027798591,1,1,1,1,0
5.53,9.35,6.18,21.06,0.4309992646140279,0,0,0,0,2
5.6,9.35,5.89,20.84,0.272802875,0,0,0,0,1
4.92,9.45,5.36,19.72,-0.124062382,0,0,0,0,0
472,318,300,1090,-0.006571453,2,2,2,2,0
1.54,13.15,12.08,26.78,-0.216579802,0,0,0,0,0
336,317,300,953,-0.060092772,1,2,2,2,0
504,368,310,1182,-0.021745177,2,2,2,2,0
505,301,300,1106,-0.237655998,2,2,2,2,0
18.96,8.76,5.57,34.3,0.2686264144274313,0,0,0,0,1
21.93,9.9,5.41,37.25,-0.40219802,0,0,0,0,0
608,307,330,1245,0.3833772610635705,2,2,2,2,2
18.95,4.93,8.9,33.2,0.4768205691606564,0,0,0,0,2
19.61,4.85,8.83,33.29,0.022827569,0,0,0,0,1
15.18,5.17,8.59,28.93,0.3928739416985896,0,0,0,0,2
15.61,4.56,8.98,29.15,-0.161372316,0,0,0,0,0
540,326,325,1191,-0.014513458,2,2,2,2,0
0.11,15,6.73,22.01,0.3950489685244235,0,0,0,0,2
0.11,14.58,6.74,21.43,0.3906082397870515,0,0,0,0,2
0.11,14.69,6.46,21.25,0.1017822206300322,0,0,0,0,1
615,366,300,1281,-0.063076519,2,2,2,2,0
548,354,325,1227,-0.146998296,2,2,2,2,0
0.16,18.09,7.9,26.16,0.1047333780924466,0,0,0,0,1
0.16,18.04,7.85,26.08,0.3581662913571997,0,0,0,0,2
0.15,17.22,7.5,24.88,-0.076961865,0,0,0,0,0
0.52,15.88,7.41,23.82,0.3186646889912595,0,0,0,0,2
4.84,4.67,4.95,14.38,-0.004825901,0,0,0,0,0
4.8,4.45,4.57,13.82,-0.154482743,0,0,0,0,0
3.4,4.03,4.71,12.14,0.043691291,0,0,0,0,1
2.75,4.28,5.38,12.4,0.1817296063230966,0,0,0,0,1
500,300,200,1000,-0.194117667,2,1,2,2,0
1.97,11.33,6.37,19.67,-0.04284785,0,0,0,0,0
1.71,10.2,6.14,18.05,-0.118724561,0,0,0,0,0
3.16,9.04,5.63,17.83,0.033800694,0,0,0,0,1
607,311,320,1238,-0.037664638,2,2,2,2,0
270,292,235,797,-0.206452766,1,1,2,1,0
2.63,10.04,4.5,17.49,-0.122619021,0,0,0,0,0
2.38,10.59,4.51,17.48,-0.327260427,0,0,0,0,0
1.89,11.04,4.67,17.6,0.2984815092109229,0,0,0,0,1
2.1,11.52,4.73,18.35,-0.142556395,0,0,0,0,0
3.16,9.26,7.09,19.65,-0.540802382,0,0,0,0,0
3.01,7.75,7.39,18.25,0.7557399319960327,0,0,0,0,2
2.53,4.39,5.69,12.61,0.1867151624946467,0,0,0,0,1
2.01,4.07,5.62,11.7,-0.295209123,0,0,0,0,0
18.46,10.5,5.74,34.46,0.042601262,0,0,0,0,1
17.19,9.94,5.7,32.84,0.3345391772883171,0,0,0,0,2
17.43,9.59,5.6,32.62,-0.004004359,0,0,0,0,0
17.85,9.24,5.26,32.36,0.053963098,0,0,0,0,1
635,438,300,1373,0.06260943,2,2,2,2,1
437,326,300,1063,0.1145542560083251,2,2,2,2,1
1.16,14.57,15.3,31.07,0.1816384950470106,0,0,0,0,1
1.15,14.17,15.41,30.72,-0.439554296,0,0,0,0,0
1.24,14.89,15.4,31.53,0.5824538266874311,0,0,0,0,2
1.94,15.4,15.51,32.84,-0.052728425,0,0,0,0,0
500,301,300,1101,-0.276379985,2,2,2,2,0
613,408,285,1306,-0.043911801,2,2,2,2,0
15.42,13.17,3.36,32,0.088073401,0,0,0,0,1
13.77,10.26,3.33,27.36,-0.162489608,0,0,0,0,0
9,8.52,3.22,20.75,0.2827587139997336,0,0,0,0,1
9.53,9.79,3.16,22.49,0.3593571220276119,0,0,0,0,2
3.47,19.64,8.07,30.14,0.2968135871824777,0,0,0,0,1
3.7,17.6,7.34,28.66,0.2127712700342239,0,0,0,0,1
3.36,17.22,6.83,27.41,0.002702698,0,0,0,0,1
4.4,15.79,6.31,26.49,0.090833346,0,0,0,0,1
2.02,10.89,16.47,29.32,0.4227865460834829,0,0,0,0,2
1.72,10.62,15.62,27.96,-0.044179068,0,0,0,0,0
2,8.15,14.57,24.73,0.2387610751183078,0,0,0,0,1
360,294,300,954,0.237364034,1,2,2,2,1
555,324,305,1184,0.1185036063587851,2,2,2,2,1
540,330,305,1175,-0.182545307,2,2,2,2,0
700,340,300,1340,-0.037394432,2,2,2,2,0
3.6,13.9,10.58,28.07,0.4435550885921776,0,0,0,0,2
3.61,11.88,11.4,26.89,-0.205758104,0,0,0,0,0
3.78,11.69,11.54,27,-0.248431288,0,0,0,0,0
3.55,11.98,10.94,26.47,-0.140583229,0,0,0,0,0
223,201,205,629,0.098728825,1,1,1,1,1
18.52,10.29,8.46,37.42,-0.186470977,0,0,0,0,0
18.64,10.16,8.46,37.27,0.036080184,0,0,0,0,1
16.14,9.91,8.01,34.06,0.476236369,0,0,0,0,2
18.75,10.06,8.13,36.93,0.434193328,0,0,0,0,2
530,318,305,1153,-0.119504753,2,2,2,2,0
2.82,9.81,5.48,18.14,0.1990564908430432,0,0,0,0,1
2.94,9.56,5.37,17.86,0.2858766574849183,0,0,0,0,1
3.53,7.81,5.11,16.45,0.175340582,0,0,0,0,1
374,254,210,838,-0.300058231,1,1,1,1,0
4.1,10.86,5.39,20.36,0.1058294808058133,0,0,0,0,1
3.35,10.55,4.58,18.48,0.075916709,0,0,0,0,1
3.82,12.39,4.5,20.72,0.2737112904615276,0,0,0,0,1
4.25,12.13,4.74,21.12,-0.111360046,0,0,0,0,0
3.8,18.2,12.41,34.25,0.4543334285203789,0,0,0,0,2
4.3,18.72,11.08,34.1,0.027403683,0,0,0,0,1
4.74,17.84,10.35,32.94,-0.183914709,0,0,0,0,0
520,330,310,1160,0.019081265,2,2,2,2,1
320,317,300,937,-0.335089884,1,2,2,1,0
200,200,200,600,-0.015028223,1,1,1,1,0
2.72,13.98,11.49,28.19,0.2533131099976748,0,0,0,0,1
1.98,9.39,10.63,21.99,0.4700602336102168,0,0,0,0,2
520,348,310,1178,-0.226959395,2,2,2,2,0
