ticker,date,env,soc,gov,ret,mom
ADBE,2022-04-14,0.00196108429880805,0.010441472797215606,0.003136656493726686,-0.2580252636957755,0.010521447566192622
ADI,2022-04-14,0.48678006648214855,0.7252244000732735,0.6291115632417769,-0.106582167974555,0.009162909006821597
ADM,2019-12-31,0.022768049625168634,0.02958417292544422,0.005807053238385894,0.142469776257706,0.009162909006821597
ADM,2020-12-31,0.022086538060334636,0.02800421322586554,0.00470498474059003,0.0824565208879458,0.008454734651404788
ADM,2021-12-31,0.02211435485889929,0.027958417292544422,0.003581722617836554,0.3410713153090907,0.009191814082552895
ADM,2022-04-14,0.8164091294732889,0.8053672833852354,0.6397083757205833,0.4335799681890346,0.8345328939761822
ADP,2017-12-29,9.735879497628619e-05,0.019554863528118704,0.0066971854866056295,0.144657214156105,0.009162909006821597
ADP,2019-12-31,8.345039569395958e-05,0.01621176039567686,0.007121057985757883,0.3200680951205229,0.009148456468955948
ADP,2020-12-31,8.345039569395958e-05,0.014357025096171459,0.006018989487962021,0.0246568392000015,0.009162909006821597
ADP,2021-12-31,0.00036161838134049154,0.013303718629785674,0.005044082739911834,0.4012615793631288,0.009451959764134581
ADP,2022-04-14,0.6954060557170475,0.6840080600842645,0.4171753136656494,-0.0647188475000247,0.7313995837669094
ADSK,2019-12-31,0.0017524583095731511,0.026767723026195275,0.005234825364530349,0.4631151416132247,0.009162909006821597
ADSK,2020-12-31,0.001766366708855478,0.026309763692984062,0.004874533740250932,0.6575646556062178,0.009177361544687245
ADSK,2021-12-31,0.0018915423023964173,0.018180985528485072,0.003433367243133266,-0.0753674131536971,0.009292981847612439
ADSK,2022-04-14,0.0037830846047928347,0.01660102582890639,0.003051881993896235,-0.2992199336425059,0.011128454156549889
AEE,2020-12-31,0.02538282869024604,0.02493588569335043,0.0072906069854187855,0.0145567335800441,0.009162909006821597
AEE,2022-04-14,0.0211268585098541,0.01623465836233742,0.005213631739572737,0.0784313725490196,0.004740432419932937
AEP,2020-12-31,0.02479867592038832,0.018547352995054042,0.0050864699898270594,-0.1188360143590856,0.009162909006821597
AEP,2021-12-31,0.027107470201254535,0.019577761494779265,0.0044930484910139035,0.0676826984965532,0.011562030292519366
AEP,2022-04-14,0.02247597324023978,0.013761677962996885,0.005001695489996608,0.1513032164918855,0.0043502138975604135
