environment_score,social_score,governance_score,esg_momentum,Annual_Return
842.6,854.4,861.6,-4.6,0.5803374824901607
837.8,855.6,863.4,-1.8,0.5520651382640915
815.4,810.0,915.2,49.6,-0.7552064960253614
829.0,878.8,923.6,90.8,-0.8422338464085309
997.8,826.0,916.6,9.0,0.0855149082119892
998.4,841.6,920.4,20.0,0.47771968129197234
976.2,737.0,861.2,-0.6,-0.39441534511886917
975.8,749.8,865.8,17.0,0.14741135834327682
986.6,846.6,860.8,52.6,1.3837116017489282
989.8,794.8,853.8,-55.6,2.4692263325321737
908.4,891.8,923.8,3.4,-0.5960441832220449
918.4,900.6,923.8,18.8,-0.31809188260826343
855.6,679.0,855.0,19.4,3.6465387931581534
894.6,683.8,847.4,36.2,3.009773436065258
894.6,681.4,853.2,3.4,3.1228621055814942
909.6,883.8,871.2,-9.0,2.465852532528798
901.2,899.0,888.8,24.4,4.561605654018583
906.0,917.0,895.6,29.6,7.440489211675301
774.2,702.2,875.8,-18.8,-0.4880744437303904
968.2,816.2,836.4,20.2,-0.1762652057895157
963.8,838.0,826.8,7.8,-0.32577076420710677
972.2,843.4,829.2,16.2,-0.5479930209584493
681.2,944.0,858.0,9.8,0.09203029599409429
673.0,942.4,858.0,-9.8,0.03885984977920349
667.2,957.4,879.6,30.8,0.08388606126646293
885.0,859.6,880.8,3.4,0.5079698103468054
879.4,857.6,887.8,-0.6,0.4276905579343363
679.2,811.2,827.2,25.2,-0.3740546695854188
698.6,813.6,827.2,21.8,-0.20197790838897756
806.6,784.0,885.6,-24.0,-0.36788826343291686
849.6,787.6,896.8,57.8,-0.3261198344929086
949.8,720.6,816.6,4.0,0.3328679658551169
949.6,722.0,845.4,30.0,0.3498545749512095
952.6,742.4,847.2,25.2,0.23443865346175558
955.2,777.8,760.4,3.8,-0.6083769511989494
948.2,753.8,759.8,-31.6,-0.6544502406756629
953.2,739.8,783.4,14.6,-0.47085513491690706
888.8,909.2,904.8,-9.2,0.3798720501292583
887.2,910.2,905.8,0.4,0.5682373249927147
891.2,911.0,911.4,10.4,0.5835951766139069
787.2,696.8,876.8,-34.2,-0.2110529381467302
819.4,718.0,894.6,71.2,0.09354277132408907
616.2,906.8,827.0,13.8,2.2182663783096275
645.0,902.0,824.6,21.6,2.2321116655955855
629.0,902.8,823.6,-16.2,4.107737351699813
998.2,838.8,784.0,-11.6,0.30366500379497685
997.8,832.8,782.4,-8.0,0.3206516128910694
747.6,728.6,843.2,19.8,1.0679466178852492
549.0,810.4,877.8,-25.8,-0.30610818491716074
612.8,830.8,889.2,95.6,-0.27969747473039325
686.4,858.6,894.0,106.2,-0.5258871268639411
968.0,696.0,778.8,13.4,-0.16081601419998656
967.4,709.6,778.6,12.8,0.021808352024612825
982.4,774.4,789.6,90.8,-0.10119941720370244
991.8,711.0,885.2,-7.2,4.091797907271479
967.8,891.8,892.2,163.8,5.929377989931388
990.8,808.6,897.2,4.4,0.8687609168088518
990.8,817.8,903.0,15.0,1.532751717567106
983.6,836.6,898.0,6.6,2.894706362755723
972.0,829.0,890.4,8.6,0.33542760759807105
959.2,733.8,761.2,7.4,0.47550906573941415
956.0,744.6,776.2,22.6,0.8411868018105846
981.6,895.8,884.8,15.0,8.366608797767967
984.4,885.8,889.8,-2.2,12.506341316978954
747.4,780.4,921.4,-1.0,-0.31553224063261587
749.2,780.6,910.6,-8.8,-0.7239092451183617
760.4,797.6,909.8,27.4,-0.741942977346435
956.8,852.0,854.0,26.2,0.25445030280481
968.2,874.0,871.8,51.2,0.5358929515354683
963.8,908.8,888.8,47.4,1.355555717096509
811.0,749.8,888.0,19.6,1.9206516312738504
806.8,818.8,899.2,27.2,-0.49714947348814303
821.8,782.4,901.2,-19.4,-0.26527046223472844
844.0,812.6,898.2,49.4,-0.29051772304920365
581.4,773.0,841.8,-28.0,-0.548574745586422
654.8,821.0,889.0,168.6,-0.5776614249199226
654.8,821.0,890.8,1.8,-0.5001745130370245
944.6,837.0,876.2,38.6,-0.24537518427451205
947.8,856.0,879.0,25.0,0.07492731435169644
949.2,740.0,777.8,20.4,-0.022105805321962824
955.2,753.2,783.4,24.8,0.2516580060216047
798.6,715.8,812.2,61.6,0.31518330321476523
957.6,914.8,867.2,8.0,-0.3021814654060904
952.6,917.2,867.4,-2.4,0.5257126137687432
951.2,910.8,878.0,2.8,2.50447937392277
819.6,860.6,852.6,15.2,0.4955206266589634
842.8,867.8,898.6,76.4,0.8852821297278707
829.8,857.4,892.2,-29.8,1.6901688121584046
991.4,792.2,869.2,-8.6,-0.5840604855309421
