environment_score_start,social_score_start,governance_score_start,total_score_start,other_metric
environment_score_end,social_score_end,governance_score_end,total_score_end,Annual_Return
5.22,14.79,6.66,26.67,0.47344651981682234
7.72,16.68,6.81,31.21,-0.311915899506625
540,313,300,1153,-0.112583782120111
515,309,300,1124,-0.124833557796017
592,313,210,1115,0.14546971331060543
16.23,10.56,7.19,33.99,0.059226552525514786
15.8,11.37,6.36,33.54,0.00306747133042683
15.39,10.4,5.44,31.24,0.14295056571237094
14.49,8.57,4.59,27.66,0.0947478263753228
260,332,300,892,0.0646970919011308
17.33,11.07,6.25,34.52,0.18368271108476084
17.26,9.92,6.62,33.79,-0.396795079287778
16.85,8.61,7.56,33.01,1.753124952316281
570,301,300,1171,0.4173086143712637
505,326,305,1136,-0.0354938725839366
6.46,22.43,12.99,41.91,0.8694128835113932
6.2,17.79,10.64,34.64,0.6916178868531787
5.93,13.04,8.23,27.21,0.46679597198322054
5.57,11.43,8.28,25.28,-0.0746333271012737
360,300,225,885,-0.0707192808278898
1.69,11.13,7.32,20.17,0.30596749036306176
1.69,11.41,7.72,20.81,0.380115358708841
1.34,10.79,7.54,19.67,0.3173534192360653
0.93,9.33,6.71,16.98,-0.185101519747904
14.41,10.3,7.48,32.17,0.3263917903310241
13.32,9.8,7.06,30.19,0.11721572094900981
10.33,8.6,6.54,25.47,0.0761009006325229
9.48,8.44,6.17,24.09,-0.247485888805636
700,358,300,1358,0.14856473968210326
0.16,18.63,6.95,25.73,-0.260972032624487
19.08,12,7.86,38.87,0.34229268872328567
13.66,12.21,6.8,32.67,-0.159148702119574
11.07,11.59,5.97,28.65,0.0874761285100792
10.64,10.99,5.86,27.49,0.051214518401421855
500,300,300,1100,-0.283915432955574
13.15,6.61,7.94,27.65,0.0999168029638387
12.4,6.24,7.56,26.19,0.24726364273784465
11.82,5.45,7.24,24.51,-0.111851821711037
605,323,315,1243,-0.00471599600229598
565,316,300,1181,0.028505095832656178
23.89,12.77,8.05,44.78,-0.0221807313174252
24.84,12.6,8.26,45.71,-0.408562629122662
19.63,11.04,8.24,38.91,0.7500000939395519
550,252,240,1042,0.39182610543299445
4.96,5.26,4.9,15.5,0.6711521250773393
5.42,5.24,5.49,16.16,0.22309949396772027
4.52,5.48,5.49,15.5,0.17749254563765715
515,323,315,1153,-0.130593136171954
4.47,5.43,6.16,16,0.2369306088938078
4.56,5.21,5.76,15.52,-0.271028049658615
4.41,4.02,4.91,13.34,0.5240821551381726
2.91,3,5.14,11.05,-0.00385545801748708
576,409,310,1295,0.0211733365955426
377,304,210,891,-0.0209130453582378
4.66,7.04,6.03,17.84,0.3987005244138369
5.02,6.59,5.63,17.24,0.261444792990181
5,6.45,5.68,17.12,0.4365752530352404
5.2,6.72,5.69,17.6,-0.193090696380369
653,380,310,1343,0.10252991802854736
235,241,235,711,-0.479244444627444
555,310,300,1165,0.032366253670095615
290,333,305,928,-0.0701170695560495
694,403,316,1413,0.20385393010691372
4.07,9.2,5.14,18.68,0.16848885076540188
4.01,9.9,5.03,18.94,0.20974303342270492
4.05,9.23,4.84,18.13,0.40809467776747915
3.83,7.31,4.96,16.1,-0.280366165509251
225,242,305,772,0.0565361270130473
3.81,4.28,5.86,13.94,-0.0636563742213348
292,246,215,753,-0.272214423644449
513,271,300,1084,0.2868562937823259
10.69,8.66,7.05,26.4,-0.123062482257654
510,302,300,1112,-0.349158884208893
20.58,11.87,6.85,39.97,0.3106892692873207
20.69,12.42,6.75,39.87,0.9490636490078559
18.17,11.86,5.53,35.56,0.5319383220583427
17.21,10.28,5.37,32.87,0.18587268971934354
5.87,9.29,6.11,21.26,0.7033197627349373
5.18,10.01,6,21.19,-0.00675875303110271
5.29,9.32,5.84,20.45,-0.20808308252456
510,304,300,1114,0.13914926293192598
1.21,11.87,5.34,18.42,0.3903977654196988
1.26,12.49,5.47,19.23,-0.184726671974888
0.34,11.57,6.61,18.51,-0.228403814891249
1.27,11.14,5.73,18.13,-0.0631001520087991
395,302,310,1007,-0.0403427923818836
2.23,13.03,11.34,26.6,0.3267155662450495
2.22,12.98,11.02,26.22,-0.10920843246513
2.02,12.22,10.22,24.46,0.5688039941638983
1.39,8.2,9.15,18.73,-0.11320761916159
410,302,300,1012,0.14847053382999395
16.53,12.54,6.91,36.22,0.5822444443974159
18.34,12.95,6.97,38.26,0.14506323762244613
17.86,13.54,7.31,38.71,-0.0502981569516323
17.03,10.57,7.39,34.99,0.23724671044459816
295,330,315,940,0.0550161003261223
370,331,288,989,-0.222227570657172
4.1,5.8,7.12,16.98,0.0997863508864443
3.72,4.9,6.94,15.56,-0.342804200596516
2.24,4.44,6.08,12.75,0.6009395758235829
525,302,300,1127,-0.0981195303459227
1.33,13.57,6.17,21.07,1.4028881212623354
1.23,12.19,5.75,19.17,-0.0838395718572156
10.5,14.79,7.15,32.39,0.14665264473985395
10.01,14.6,6.96,31.56,0.09908967262765
15.52,14.16,5.63,35.32,0.0745070551482718
540,326,305,1171,-0.231033604425895
510,310,300,1120,0.16622012197686128
533,300,300,1133,-0.0461037527133953
500,303,300,1103,-0.14459661593529
585,326,365,1276,0.055357163536307395
215,238,215,668,0.0885152597576461
7.91,5.2,6.89,20,0.0327323253855363
7.3,5.24,6.87,19.42,-0.0991979344333145
510,303,255,1068,-0.329714351360321
535,311,250,1096,-0.29038365262069
295,362,355,1012,-0.126331387288597
4.25,5.85,3.41,13.37,0.11715224995337845
3.71,5.14,3.9,12.75,0.387020126716791
3.61,5.22,3.78,12.6,-0.0697640838921187
0.18,14.04,7.57,21.85,0.7977350277926396
0.18,13.52,7.87,21.58,0.17107910705515111
0.38,10.96,7.31,18.64,-0.371489717663452
1.31,10.92,6.95,19.18,0.031091146788025454
4.93,9.16,5.98,20,0.5684886874908661
5.52,9.66,5.68,20.86,0.22577341011495408
5.87,8.84,4.79,19.5,0.13673926979071294
205,242,200,647,-0.185019797435054
525,305,305,1135,-0.173161916070856
1.41,5.85,6.75,13.88,0.21381179401637004
1.39,5.25,6.38,13.02,0.20188372726384105
3.21,5.57,6.05,14.83,0.26264493507393544
3.41,5.48,5.72,14.6,-0.0503951935183927
255,301,300,856,-0.166307961230554
2.53,12.71,9.53,24.55,0.28013584597107516
2.48,11.43,8.8,22.72,-0.164682525791305
2.05,11.31,7.85,21.22,0.20941177068971759
1.96,10.54,7.79,20.28,-0.13806453827889
520,348,305,1173,0.016596578958944907
230,317,205,752,-0.268982443143915
535,300,305,1140,0.5523680494178259
1.45,8.58,10.93,20.73,0.3947670618180573
1.48,8.58,10.51,20.56,-0.196522305153508
1.65,7.42,9.6,18.67,0.3910940848212486
1.5,6.22,8.58,16.31,0.0815294898654552
545,315,315,1175,0.19208740388919368
8.63,8.48,4.05,21.16,0.5689630758471189
8.22,8.24,3.87,20.33,0.000989659098892523
8.04,8.13,3.61,19.78,0.40569526698411806
293,200,205,698,-0.00237252404250306
4.63,19.88,10.84,35.38,0.35014226937307863
