ticker,environment_score,social_score,governance_score,total_score,esg_score_year,Date,High,Low,Open,Close,Volume,Adj Close,esg_momentum,Annual_Return_Close,Annual_Return_High
APD,879,970.8,927,2776.8,2021,1/4/2021,276.4700012,267.1700134,275.3900146,268.2000122,1286200,260.8761597,9.4,,
APD,881.2,974.4,928.2,2783.8,2022,1/3/2022,305,295.7200012,304.519989,295.8099976,1130100,293.9170837,7,10.294550389285906,10.319383179429021
APTV,920.6,872.4,863.6,2656.6,2020,1/2/2020,96.33999634,95.01000214,95.94000244,96.30999756,1655300,96.0656662,42.8,,
APTV,924.6,905.8,893.4,2723.8,2021,1/4/2021,131.9700012,127.7600021,131.3600006,129.5099945,1934500,129.5099945,67.2,34.47201513977487,36.983606200539754
ATO,713.2,709.2,867,2289.4,2020,1/2/2020,112.0400009,109.4199982,112.0400009,110.3799973,906900,104.3947449,56.2,,
ATO,731.6,738.2,865,2334.8,2021,1/4/2021,95.91999817,93.69999695,95.40000153,94.02999878,1106700,90.97395325,45.4,-14.81246505,-14.38772099
ATO,717,739,868.4,2324.4,2022,1/3/2022,105.0299988,103.5299988,105,105.0100021,941600,104.3369217,-10.4,11.677128004318792,9.497498752923516
AVB,929.2,926.2,887.6,2743,2019,1/2/2019,174.0399933,168.3399963,172.5700073,169.1999969,657800,152.1012726,5.6,,
AVB,929.8,929,893,2751.8,2020,1/2/2020,210.9100037,206.0700073,210.4600067,207.2400055,817400,191.885788,8.8,22.482274998197703,21.18479189805853
AVGO,820.8,826.8,842,2489.6,2021,1/4/2021,442.2399902,421.2399902,439.3299866,425.2200012,2417100,410.1836853,11.4,,
AVY,744.4,964.8,915.6,2624.8,2020,1/2/2020,132.25,128.8800049,131.5299988,129.3099976,699300,124.763649,10,,
AVY,756.2,961.4,920,2637.6,2021,1/4/2021,157.25,151.1100006,155.4600067,151.8999939,527900,149.3992615,12.8,17.469644048620726,18.903591682419663
AWK,760.6,801.6,880.4,2442.6,2018,1/2/2018,91.48000336,88.58999634,91,89.08000183,1139600,82.8405838,-25.6,,
AWK,744.4,798.8,875.2,2418.4,2019,1/2/2019,90.44999695,88.18000031,90.44999695,88.76999664,981100,84.30430603,-24.2,-0.348007615,-1.12593613
AWK,735.4,805.2,890,2430.6,2021,1/4/2021,153.7899933,148.6199951,153.5299988,150.2400055,1378900,147.5337067,12.2,69.24637961775188,70.02763791
AXP,998.8,765.2,802.6,2566.6,2020,1/2/2020,126.2699966,124.2300034,124.6600037,125.8499985,2708000,121.9882431,34.4,,
AXP,999,796.6,811.8,2607.4,2021,1/4/2021,121.8000031,116.8499985,121.3000031,118.0400009,3472100,116.0582275,40.8,-6.205798723,-3.54002821
BAX,948.8,663.2,819,2431,2020,1/2/2020,85.87000275,84.18000031,85,85.87000275,2957800,83.45846558,8,,
BAX,949.8,680.8,815.6,2446.2,2021,1/4/2021,80.98999786,79.30999756,80.48999786,80.12000275,3467100,78.75492096,15.2,-6.696168413,-5.683014713
BDX,932,630.4,776.6,2339,2019,1/2/2019,217.5707245,212.8975677,216.5560913,214.7121887,1206220,205.7451935,-36.8,,
BDX,931.8,634.8,787.2,2353.8,2020,1/2/2020,266.7804871,263.2878113,265.4536438,265.8926697,1725895,257.9525757,14.8,23.836784166692237,22.61782356660764
BDX,929,676.6,808.6,2414.2,2021,1/4/2021,245.5707245,240.7317047,244.8780518,244.5853729,1148000,240.4874268,60.4,-8.013495379,-7.950267589
BIIB,999.4,694,839.4,2532.8,2020,1/2/2020,299.0799866,292.2799988,299.0599976,294.2399902,1178300,294.2399902,3.2,,
BIIB,999.6,707,849.2,2555.8,2021,1/4/2021,246.3999939,238.3999939,245.7400055,242.9499969,1563400,242.9499969,23,-17.43134686,-17.61401467
BIIB,999.6,738.6,843.6,2581.8,2022,1/3/2022,247.5099945,238.0700073,240.1499939,244.1399994,1642200,244.1399994,26,0.48981375393464255,0.4504872676460048
BK,955.8,786.2,793.6,2535.6,2020,1/2/2020,50.91999817,50.22000122,50.45999908,50.91999817,2587200,47.72333527,31.2,,
BK,960.2,810.8,786,2557,2021,1/4/2021,42.63999939,41.22999954,42.5,41.68999863,5710200,40.35612488,21.4,-18.12647265,-16.26079945
BKNG,922.4,812,877,2611.4,2020,1/2/2020,2077.409912,2053.219971,2068.399902,2074.580078,329000,2074.580078,13.4,,
BKNG,922.4,806.4,873.8,2602.6,2021,1/4/2021,2257.189941,2121.209961,2250,2164.080078,334000,2164.080078,-8.8,4.314126070577262,8.654046943817594
BMY,969.4,659,795.2,2423.6,2018,1/2/2018,61.50999832,60.84000015,61.40000153,61.31000137,6472700,53.40745926,-64.8,,
BMY,972.6,684.6,780.4,2437.6,2020,1/2/2020,64,63.13999939,63.84999847,63.34000015,13163700,59.02220535,14,3.3110401804579137,4.048125098371802
BMY,999.4,696,850,2545.4,2021,1/4/2021,62.15000153,60.5,61.74000168,61.38000107,12429600,59.01318359,107.8,-3.094409655,-2.890622609
BSX,943.4,742.8,793.6,2479.8,2022,1/3/2022,43.15000153,42.09999847,42.59000015,43.11999893,5093500,43.11999893,139.6,,
BWA,892,783.2,849.2,2524.4,2020,1/2/2020,44.04999924,43.34999847,44,43.95000076,1189300,42.30266953,12,,
BWA,901.2,809.2,855.8,2566.2,2021,1/4/2021,39.13999939,37.75999832,38.99000168,38.06000137,1838500,37.34762573,41.8,-13.4015911,-11.14642437
BXP,923.6,898.2,892.6,2714.4,2020,1/2/2020,138.5399933,135.1300049,138.3000031,135.5800018,605700,124.2941208,7.2,,
BXP,926,899.4,898.4,2723.8,2021,1/4/2021,95.95999908,90.75,95.30000305,90.81999969,1240100,87.02910614,9.4,-33.01371996,-30.73480315
CAG,802.6,694,886.8,2383.4,2020,1/2/2020,34.40999985,33.38000107,34.25,33.63000107,4299000,31.38328552,-23.8,,
CAG,780.6,672.6,901,2354.2,2021,1/4/2021,36.47999954,35.75999832,36.40000153,35.99000168,4339600,34.47340393,-29.2,7.017545450229745,6.015692237790016
CAG,766,672,904.6,2342.6,2022,1/3/2022,34.09999847,33.47000122,34,34.06000137,4799600,33.75859451,-11.6,-5.362601333,-6.524125822
CAH,954.2,836,897.4,2687.6,2020,1/2/2020,51.00999832,49.47999954,50.91999817,50.09000015,2824600,46.10401154,15,,
CAH,951,892.6,909.8,2753.4,2021,1/4/2021,54.04000092,52.11000061,53.88000107,52.93000031,2861000,50.65156174,65.8,5.669794672579953,5.940017055
CB,968.6,785.6,771.4,2525.6,2020,1/2/2020,156.0200043,154.3600006,155.8500061,156.0200043,2037800,148.877533,-7.8,,
