,ticker_start,esg_score_year_start,environment_score_start,social_score_start,governance_score_start,total_score_start,Date_start,High_start,Low_start,Open_start,Close_start,Volume_start,Adj Close_start,MarketData_Year_start,environment_score_end,social_score_end,governance_score_end,total_score_end,Date_end,High_end,Low_end,Open_end,Close_end,Volume_end,Adj Close_end,MarketData_Year_end,Annual_Return
306,CTSH,2020,1.03,11.23,8.17,20.42,2020-01-02,62.4599990844726,61.6800003051757,62.2900009155273,61.9199981689453,2234500,60.1415367126464,2020,1.03,11.23,8.17,20.42,2020-12-31,82.2300033569336,80.7699966430664,81.370002746582,81.9499969482421,1500700,80.6756362915039,2020,0.3156204164995295
307,CTSH,2021,1.06,12.22,7.44,20.71,2021-01-04,82.2699966430664,78.6999969482421,82.0,79.4199981689453,2305700,78.1849746704101,2021,1.06,12.22,7.44,20.71,2021-12-31,89.1699981689453,88.6500015258789,88.7200012207031,88.7200012207031,1356500,88.4521179199218,2021,0.08195123439881825
308,CTSH,2022,605.0,365.0,300.0,1270.0,2022-01-03,89.9700012207031,88.3899993896484,88.6800003051757,89.5699996948242,2673800,89.2995452880859,2022,1.11,9.5,5.74,16.35,2022-04-14,86.3799972534179,84.5800018310546,86.0699996948242,84.7399978637695,2616000,84.7399978637695,2022,-0.044429436489032574
309,CTVA,2022,610.0,312.0,320.0,1242.0,2022-01-03,47.7799987792968,46.7900009155273,47.4000015258789,46.9000015258789,2071200,46.7733421325683,2022,610.0,312.0,320.0,1242.0,2022-04-14,61.7400016784668,60.8800010681152,61.3300018310546,61.0099983215332,3714400,61.0099983215332,2022,0.2871307248423542
310,CTXS,2022,530.0,305.0,305.0,1140.0,2022-01-03,98.5199966430664,94.3199996948242,94.5999984741211,98.2600021362304,1582900,98.2600021362304,2022,530.0,305.0,305.0,1140.0,2022-04-14,102.33999633789,101.830001831054,102.33999633789,102.239997863769,935100,102.239997863769,2022,0.08076109421648585
311,CVS,2022,540.0,302.0,315.0,1157.0,2022-01-03,104.33999633789,102.300003051757,102.809997558593,104.160003662109,4951000,103.606231689453,2022,540.0,302.0,315.0,1157.0,2022-04-14,105.75,103.610000610351,105.309997558593,103.680000305175,5134800,103.680000305175,2022,0.008462238763172569
312,CVX,2019,20.27,11.7,10.64,42.56,2019-01-02,111.680000305175,107.099998474121,107.33999633789,110.690002441406,6384800,94.6572265625,2019,20.27,11.7,10.64,42.56,2019-12-31,120.629997253417,119.25,119.5,120.51000213623,4215700,107.241882324218,2019,0.12269430079802521
313,CVX,2020,18.87,11.81,10.1,40.78,2020-01-02,121.629997253417,120.769996643066,120.809997558593,121.430000305175,5205000,108.060585021972,2020,18.87,11.81,10.1,40.78,2020-12-31,85.1999969482421,83.9599990844726,84.9000015258789,84.4499969482421,8350700,79.4103546142578,2020,-0.3009684740099117
314,CVX,2021,19.06,11.46,10.0,40.51,2021-01-04,85.9499969482421,83.8899993896484,85.1500015258789,84.7099990844726,9234900,79.6548385620117,2021,19.06,11.46,10.0,40.51,2021-12-31,118.08999633789,117.129997253417,117.379997253417,117.349998474121,5706600,116.130737304687,2021,0.37815615233378264
315,CVX,2022,210.0,217.0,210.0,637.0,2022-01-03,119.690002441406,117.290000915527,117.419998168945,119.26000213623,10717700,118.020889282226,2022,21.15,10.07,10.06,41.28,2022-04-14,172.940002441406,170.559997558593,170.690002441406,171.58999633789,9416800,171.58999633789,2022,0.46133536887817606
316,CZR,2022,265.0,228.0,200.0,693.0,2022-01-03,97.3899993896484,93.1600036621093,93.4899978637695,93.4700012207031,2061100,93.4700012207031,2022,265.0,228.0,200.0,693.0,2022-04-14,71.1600036621093,68.7900009155273,69.9599990844726,68.8799972534179,2681600,68.8799972534179,2022,-0.2632367223519726
